07.12.2024   N1106
Îáðàçåö: "Âîëüôðàì"
LiF200
Òðóáêà: "40,0/0,100"
        Îòð1            Îòð2
   [ìÀ]  [Èìï/ñ]   [ìÀ]  [Èìï/ñ]
   2367     9,0    1185     3,0
   2369    15,0    1186     3,0
   2371     8,0    1187     4,0
   2373    13,0    1188     4,0
   2375    10,0    1189     1,0
   2377    18,0    1190     8,0
   2379    13,0    1191     4,0
   2381    16,0    1192     2,0
   2383    12,0    1193     1,0
   2385     8,0    1194     1,0
   2387    13,0    1195     3,0
   2389     4,0    1196     2,0
   2391     9,0    1197     3,0
   2393     9,0    1198     1,0
   2395     8,0    1199     6,0
   2397    13,0    1200     5,0
   2399    13,0    1201     1,0
   2401    15,0    1202     4,0
   2403     5,0    1203     3,0
   2405    21,0    1204     8,0
   2407    15,0    1205     5,0
   2409    14,0    1206     5,0
   2411    13,0    1207     3,0
   2413    11,0    1208     2,0
   2415    12,0    1209     9,0
   2417    11,0    1210     7,0
   2419    13,0    1211     7,0
   2421     9,0    1212     7,0
   2423    17,0    1213     8,0
   2425    13,0    1214     7,0
   2427    12,0    1215     6,0
   2429    14,0    1216     9,0
   2431    14,0    1217     6,0
   2433    11,0    1218     8,0
   2435     7,0    1219     9,0
   2437     9,0    1220    10,0
   2439    14,0    1221     6,0
   2441    14,0    1222     8,0
   2443    11,0    1223     5,0
   2445     7,0    1224     7,0
   2447    14,0    1225     3,0
   2449    12,0    1226     6,0
   2451    15,0    1227     9,0
   2453    13,0    1228     5,0
   2455     7,0    1229     4,0
   2457    11,0    1230     6,0
   2459     3,0    1231    11,0
   2461    10,0    1232     5,0
   2463    13,0    1233    14,0
   2465    13,0    1234    14,0
   2467    11,0    1235    21,0
   2469     7,0    1236    19,0
   2471    10,0    1237    29,0
   2473     7,0    1238    34,0
   2475     9,0    1239    60,0
   2477    19,0    1240    96,0
   2479    22,0    1241     108
   2481    21,0    1242     167
   2483    19,0    1243     123
   2485    19,0    1244     119
   2487    28,0    1245    95,0
   2489    24,0    1246    60,0
   2491    21,0    1247    74,0
   2493    20,0    1248    31,0
   2495    14,0    1249    39,0
   2497    10,0    1250    13,0
   2499     8,0    1251    12,0
   2501     8,0    1252    12,0
   2503    13,0    1253    16,0
   2505    16,0    1254    11,0
   2507    11,0    1255    14,0
   2509    12,0    1256    22,0
   2511    14,0    1257    21,0
   2513     8,0    1258    36,0
   2515    10,0    1259    57,0
   2517     6,0    1260    63,0
   2519     9,0    1261    77,0
   2521     9,0    1262    52,0
   2523     9,0    1263    52,0
   2525    18,0    1264    22,0
   2527    10,0    1265    26,0
   2529    15,0    1266    20,0
   2531    11,0    1267    12,0
   2533    13,0    1268    13,0
   2535    16,0    1269    11,0
   2537    11,0    1270    14,0
   2539    14,0    1271    15,0
   2541    14,0    1272    18,0
   2543    11,0    1273    33,0
   2545    14,0    1274    37,0
   2547    14,0    1275    82,0
   2549    20,0    1276     116
   2552    23,0    1277     207
   2554    49,0    1278     316
   2556    42,0    1279     367
   2558    37,0    1280     369
   2560    44,0    1281     291
   2562    25,0    1282     259
   2564    34,0    1283     187
   2566    26,0    1284     152
   2568    25,0    1285    86,0
   2570    19,0    1286    49,0
   2571     9,0    1287    38,0
   2573    12,0    1288    19,0
   2575    11,0    1289    18,0
   2577    17,0    1290    19,0
   2579    13,0    1291    16,0
   2581    10,0    1292    14,0
   2583     4,0    1293    17,0
   2585     8,0    1294    12,0
   2587    11,0    1295    16,0
   2589    11,0    1296    19,0
   2591    10,0    1297    20,0
   2594    12,0    1298    46,0
   2596    19,0    1299    40,0
   2598    14,0    1300    36,0
   2600    11,0    1301    27,0
   2602     6,0    1302    24,0
   2604     7,0    1303    21,0
   2606    11,0    1304    12,0
   2608     5,0    1305     8,0
   2610     6,0    1306    14,0
   2612     9,0    1307     9,0
   2614     8,0    1308     4,0
   2616     5,0    1309     3,0
   2618     8,0    1310     5,0
   2620     2,0    1311     3,0
   2622     6,0    1312     6,0
   2624     6,0    1313     5,0
   2626     7,0    1314     9,0
   2628    11,0    1315     7,0
   2630    10,0    1316     3,0
   2632     7,0    1317     7,0
   2634     7,0    1318     3,0
   2636     6,0    1319     8,0
   2638    10,0    1320     2,0
   2640     5,0    1321     6,0
   2642     6,0    1322     4,0
   2644    11,0    1323     1,0
   2646     8,0    1324     4,0
   2648     8,0    1325     4,0
   2650    11,0    1326     2,0
   2652     7,0    1327     5,0
   2654     2,0    1328     2,0
   2656     8,0    1329     2,0
   2658     8,0    1330     4,0
   2660     6,0    1331     1,0
   2662    11,0    1332     4,0
   2664     9,0    1333     6,0
   2666     9,0    1334     4,0
   2668    10,0    1335     5,0
   2670     9,0    1336     7,0
   2672     9,0    1337     4,0
   2674     6,0    1338     1,0
   2676     6,0    1339     3,0
   2678    10,0    1340     4,0
   2680     7,0    1341     5,0
   2682     6,0    1342     1,0
   2684     6,0    1343     2,0
   2686     8,0    1344     3,0
   2688     8,0    1345     4,0
   2690     5,0    1346     5,0
   2692     8,0    1347     3,0
   2694    10,0    1348     3,0
   2696     4,0    1349     3,0
   2698     5,0    1350     4,0
   2700     8,0    1351     0,0
   2702     6,0    1352     2,0
   2704     2,0    1353     1,0
   2706     8,0    1354    10,0
   2708    10,0    1355     4,0
   2710     3,0    1356     2,0
   2712     6,0    1357     2,0
   2714     8,0    1358     1,0
   2716     7,0    1359     1,0
   2718    10,0    1360     3,0
   2720     3,0    1361     4,0
   2722     7,0    1362     3,0
   2724    11,0    1363     3,0
   2726     1,0    1364     2,0
   2728     6,0    1365     3,0
   2730     7,0    1366     6,0
   2732     5,0    1367     3,0
   2734     6,0    1368     2,0
   2736     6,0    1369     4,0
   2738     9,0    1370     3,0
   2740    12,0    1371     2,0
   2742     6,0    1372     4,0
   2744     2,0    1373     3,0
   2746    11,0    1374     3,0
   2748    10,0    1375     4,0
   2750     7,0    1376     1,0
   2752     6,0    1377     3,0
   2754     5,0    1378     3,0
   2756     9,0    1379     5,0
   2758     3,0    1380     4,0
   2760     4,0    1381     2,0
   2762     8,0    1382     4,0
   2764     4,0    1383     0,0
   2766     6,0    1384     4,0
   2768     4,0    1385     3,0
   2770    12,0    1386     7,0
   2772     5,0    1387     1,0
   2775     6,0    1388     4,0
   2777     3,0    1389     8,0
   2779     3,0    1390     5,0
   2781     4,0    1391     8,0
   2783     4,0    1392     2,0
   2785     6,0    1393     6,0
   2787     8,0    1394     3,0
   2789     9,0    1395     2,0
   2791     5,0    1396     4,0
   2793     8,0    1397     4,0
   2795     2,0    1398     2,0
   2797     5,0    1399     3,0
   2799     6,0    1400     4,0
   2801     3,0    1401     2,0
   2803     9,0    1402     6,0
   2805     5,0    1403     2,0
   2807     1,0    1404     2,0
   2809     4,0    1405     5,0
   2811     4,0    1406     1,0
   2813     1,0    1407     2,0
   2815     3,0    1408     2,0
   2817     4,0    1409     4,0
   2819     6,0    1410     4,0
   2821     3,0    1411     4,0
   2823     5,0    1412     1,0
   2825     6,0    1413     4,0
   2827     4,0    1414     3,0
   2829     4,0    1415     9,0
   2831     5,0    1416     7,0
   2833     6,0    1417     6,0
   2835     5,0    1418     6,0
   2837     6,0    1419     9,0
   2839     1,0    1420     8,0
   2841     2,0    1421     8,0
   2843     4,0    1422     7,0
   2845     3,0    1423     4,0
