07.12.2024   N1106
Образец: "Рений"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2417    13,0    1210    65,0
   2419    16,0    1211    35,0
   2421    14,0    1212    30,0
   2423    12,0    1213    33,0
   2425    11,0    1214    31,0
   2427    19,0    1215    42,0
   2429    11,0    1216    63,0
   2431    15,0    1217    60,0
   2433    15,0    1218    74,0
   2435    14,0    1219    77,0
   2437    20,0    1220    60,0
   2439    12,0    1221    45,0
   2441    12,0    1222    37,0
   2443    18,0    1223    40,0
   2445    12,0    1224    34,0
   2447     8,0    1225    21,0
   2449    12,0    1226    12,0
   2451    13,0    1227    22,0
   2453    15,0    1228    23,0
   2455    14,0    1229    33,0
   2457    19,0    1230    58,0
   2459    18,0    1231    88,0
   2461    21,0    1232    87,0
   2463    23,0    1233     181
   2465    33,0    1234     290
   2467    40,0    1235     395
   2469    45,0    1236     501
   2471    51,0    1237     472
   2473    33,0    1238     366
   2475    36,0    1239     320
   2477    26,0    1240     248
   2479    29,0    1241     193
   2481    25,0    1242     121
   2483    12,0    1243    79,0
   2485    13,0    1244    50,0
   2487    15,0    1245    34,0
   2489    10,0    1246    26,0
   2491     9,0    1247    30,0
   2493     7,0    1248    30,0
   2495     8,0    1249    23,0
   2497     9,0    1250    20,0
   2499    12,0    1251    27,0
   2501    14,0    1252    30,0
   2503    10,0    1253    17,0
   2505     9,0    1254    39,0
   2507    12,0    1255    34,0
   2509    10,0    1256    46,0
   2511     8,0    1257    57,0
   2513    13,0    1258    48,0
   2515    16,0    1259    40,0
   2517    13,0    1260    35,0
   2519     7,0    1261    33,0
   2521     7,0    1262    18,0
   2523     9,0    1263    16,0
   2525     6,0    1264    14,0
   2527     7,0    1265    12,0
   2529    11,0    1266     5,0
   2531    13,0    1267     9,0
   2533    13,0    1268    10,0
   2535    12,0    1269     9,0
   2537     6,0    1270     6,0
   2539    15,0    1271     7,0
   2541     8,0    1272     8,0
   2543    10,0    1273     9,0
   2545     5,0    1274    11,0
   2547     3,0    1275     7,0
   2549    13,0    1276    23,0
   2552     9,0    1277    23,0
   2554    12,0    1278    29,0
   2556    13,0    1279    34,0
   2558     9,0    1280    43,0
   2560    13,0    1281    32,0
   2562    23,0    1282    26,0
   2564    12,0    1283    25,0
   2566     5,0    1284    15,0
   2568    13,0    1285    13,0
   2570     6,0    1286     7,0
   2571    17,0    1287    10,0
   2573     6,0    1288     1,0
   2575     9,0    1289     6,0
   2577    11,0    1290     4,0
   2579    12,0    1291     6,0
   2581     5,0    1292     7,0
   2583    15,0    1293     0,0
   2585     5,0    1294     7,0
   2587    10,0    1295     8,0
   2589     7,0    1296     9,0
   2591    10,0    1297     4,0
   2594    10,0    1298     8,0
   2596     6,0    1299    10,0
   2598    12,0    1300    10,0
   2600     4,0    1301     9,0
   2602    12,0    1302     7,0
   2604     7,0    1303     6,0
   2606     7,0    1304     2,0
   2608    10,0    1305     7,0
   2610     6,0    1306     4,0
   2612     6,0    1307     8,0
   2614     8,0    1308     5,0
   2616    10,0    1309     7,0
   2618     5,0    1310     3,0
   2620     3,0    1311     6,0
   2622     8,0    1312     5,0
   2624     8,0    1313     4,0
   2626    12,0    1314     3,0
   2628     4,0    1315     2,0
   2630    13,0    1316     7,0
   2632     6,0    1317     8,0
   2634     5,0    1318     4,0
   2636     5,0    1319     2,0
   2638     6,0    1320     3,0
   2640    14,0    1321     2,0
   2642     7,0    1322     6,0
   2644     8,0    1323     6,0
   2646     9,0    1324     3,0
   2648     9,0    1325     4,0
   2650     7,0    1326     4,0
   2652     9,0    1327     3,0
   2654    11,0    1328     4,0
   2656     8,0    1329     7,0
   2658     9,0    1330     6,0
   2660     4,0    1331     4,0
   2662     9,0    1332     2,0
   2664     4,0    1333     4,0
   2666     7,0    1334     7,0
