07.12.2024   N1106
Образец: "Ртуть"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2224     8,0    1114     7,0
   2226    14,0    1115    17,0
   2228    13,0    1116    12,0
   2230     8,0    1117     7,0
   2232    14,0    1118    13,0
   2234    15,0    1119     7,0
   2236    15,0    1120     9,0
   2238    23,0    1121    13,0
   2240     6,0    1122     3,0
   2242     4,0    1123     6,0
   2244    13,0    1124    10,0
   2246    13,0    1125     7,0
   2248    11,0    1126    13,0
   2250    11,0    1127     4,0
   2252    17,0    1128     9,0
   2254     8,0    1129    12,0
   2256     9,0    1130    17,0
   2258    14,0    1131    11,0
   2260    14,0    1132    10,0
   2262    14,0    1133    14,0
   2264     9,0    1134    12,0
   2266     8,0    1135    10,0
   2268     7,0    1136    15,0
   2270    11,0    1137     9,0
   2272     9,0    1138    11,0
   2274    14,0    1139    12,0
   2276    12,0    1140    16,0
   2278    15,0    1141    16,0
   2280    10,0    1142    10,0
   2282    15,0    1143    12,0
   2284    12,0    1144    13,0
   2286    17,0    1145     8,0
   2288     7,0    1146    11,0
   2290    14,0    1147     8,0
   2292     9,0    1148     7,0
   2294     6,0    1149     7,0
   2296     9,0    1150     6,0
   2298    11,0    1151    10,0
   2300    10,0    1152     7,0
   2302    16,0    1153     5,0
   2304     8,0    1154    10,0
   2306     6,0    1155     7,0
   2308    12,0    1156    12,0
   2310    12,0    1157    11,0
   2312     5,0    1158    10,0
   2314    12,0    1159    14,0
   2316    15,0    1160    12,0
   2318    11,0    1161    14,0
   2320    11,0    1162    10,0
   2322    13,0    1163    11,0
   2324     9,0    1164     5,0
   2326     6,0    1165    12,0
   2328    14,0    1166    11,0
   2330     5,0    1167     8,0
   2332    11,0    1168     7,0
   2334    13,0    1169     7,0
   2336     6,0    1170    13,0
   2338    19,0    1171    13,0
   2340     8,0    1172    11,0
   2342     7,0    1173    11,0
   2345    10,0    1174    12,0
   2347     9,0    1175     9,0
   2349    14,0    1176    15,0
   2351     9,0    1177     9,0
   2353     9,0    1178     6,0
   2355    18,0    1179     9,0
   2357    12,0    1180    13,0
   2359    14,0    1181    16,0
   2361     3,0    1182     6,0
   2363     7,0    1183     5,0
   2365    12,0    1184     8,0
   2367    12,0    1185    10,0
   2369    10,0    1186     8,0
   2371     6,0    1187     7,0
   2373    16,0    1188     7,0
   2375    10,0    1189     6,0
   2377     5,0    1190     7,0
   2379     4,0    1191     7,0
   2381    10,0    1192    10,0
   2383    10,0    1193     7,0
   2385     6,0    1194    11,0
   2387     9,0    1195     7,0
   2389    10,0    1196    13,0
   2391     4,0    1197    12,0
   2393     6,0    1198     4,0
   2395     9,0    1199     3,0
   2397    11,0    1200    13,0
   2399    11,0    1201     5,0
   2401    11,0    1202    12,0
   2403    12,0    1203    10,0
   2405     7,0    1204    10,0
   2407     4,0    1205     3,0
   2409     7,0    1206     6,0
   2411     7,0    1207    13,0
   2413     4,0    1208     4,0
   2415    15,0    1209    11,0
   2417     8,0    1210     6,0
   2419    11,0    1211     7,0
   2421     9,0    1212     7,0
   2423     5,0    1213    10,0
   2425     6,0    1214     6,0
   2427     6,0    1215     8,0
   2429    14,0    1216    10,0
   2431     3,0    1217    10,0
   2433    10,0    1218     6,0
   2435    10,0    1219    10,0
   2437    10,0    1220     7,0
   2439     9,0    1221    12,0
   2441    13,0    1222    12,0
   2443    10,0    1223    10,0
   2445    10,0    1224     8,0
   2447     9,0    1225     6,0
   2449     9,0    1226    13,0
   2451     4,0    1227    13,0
   2453     6,0    1228     5,0
   2455    10,0    1229     6,0
   2457    10,0    1230    16,0
   2459    10,0    1231    23,0
   2461    10,0    1232    16,0
   2463    11,0    1233    16,0
   2465    13,0    1234    32,0
   2467    10,0    1235    22,0
   2469    15,0    1236    39,0
   2471    13,0    1237    73,0
   2473    10,0    1238    74,0
   2475    19,0    1239    82,0
   2477    16,0    1240    78,0
   2479     8,0    1241    62,0
   2481    17,0    1242    51,0
   2483    15,0    1243    38,0
   2485    15,0    1244    30,0
   2487    11,0    1245    19,0
   2489     9,0    1246    16,0
   2491     4,0    1247    10,0
   2493    10,0    1248    16,0
   2495     8,0    1249     9,0
   2497     7,0    1250    17,0
   2499     6,0    1251    12,0
   2501     6,0    1252    12,0
   2503     8,0    1253    14,0
   2505    10,0    1254    10,0
   2507     6,0    1255    17,0
   2509     8,0    1256    14,0
   2511     9,0    1257     7,0
   2513     5,0    1258     8,0
   2515     7,0    1259     6,0
   2517     7,0    1260     7,0
   2519     6,0    1261     8,0
   2521     6,0    1262     5,0
   2523     6,0    1263     6,0
   2525     7,0    1264     7,0
   2527    10,0    1265     7,0
   2529     7,0    1266     4,0
   2531     4,0    1267    10,0
   2533     4,0    1268     8,0
   2535     8,0    1269     4,0
   2537     9,0    1270     6,0
   2539     4,0    1271     5,0
   2541    11,0    1272     7,0
   2543     8,0    1273     7,0
   2545     3,0    1274     6,0
   2547     8,0    1275     2,0
   2549     8,0    1276     7,0
   2552     7,0    1277     3,0
   2554     6,0    1278     5,0
   2556     8,0    1279     8,0
   2558     6,0    1280     9,0
   2560     4,0    1281     8,0
   2562    10,0    1282     6,0
   2564     3,0    1283     4,0
   2566     8,0    1284    10,0
   2568     3,0    1285     4,0
   2570    10,0    1286    15,0
   2571     3,0    1287     7,0
   2573     4,0    1288     4,0
   2575    10,0    1289     4,0
   2577     2,0    1290     2,0
   2579     7,0    1291    10,0
   2581     6,0    1292     4,0
   2583     6,0    1293     6,0
   2585     9,0    1294    10,0
   2587     9,0    1295    10,0
   2589     7,0    1296     7,0
   2591     6,0    1297     6,0
   2594     8,0    1298     5,0
   2596     8,0    1299     5,0
   2598     8,0    1300     6,0
   2600     6,0    1301     5,0
   2602     7,0    1302     6,0
   2604     4,0    1303     5,0
   2606     6,0    1304     4,0
   2608     9,0    1305     3,0
   2610     5,0    1306     1,0
   2612     4,0    1307     3,0
   2614     4,0    1308     4,0
   2616     4,0    1309     2,0
   2618     9,0    1310     0,0
   2620     4,0    1311    11,0
   2622     6,0    1312     8,0
   2624     1,0    1313    11,0
   2626    10,0    1314     3,0
   2628     9,0    1315     3,0
   2630     8,0    1316     3,0
   2632     5,0    1317     7,0
   2634     4,0    1318     9,0
   2636     3,0    1319     3,0
   2638     6,0    1320     8,0
   2640     3,0    1321     5,0
   2642     2,0    1322     4,0
   2644     7,0    1323     3,0
   2646     4,0    1324     5,0
   2648     5,0    1325     2,0
   2650     8,0    1326     5,0
   2652     8,0    1327     6,0
   2654     1,0    1328     3,0
   2656     7,0    1329     3,0
   2658     1,0    1330     2,0
   2660     5,0    1331     3,0
   2662     5,0    1332     5,0
   2664     0,0    1333     4,0
   2666     5,0    1334     4,0
   2668     8,0    1335     7,0
   2670     3,0    1336     6,0
   2672     6,0    1337     4,0
   2674     2,0    1338     8,0
   2676     4,0    1339     9,0
   2678     8,0    1340     8,0
   2680    10,0    1341     6,0
   2682     8,0    1342     9,0
   2684     4,0    1343     2,0
   2686     7,0    1344     3,0
   2688     7,0    1345     7,0
   2690     5,0    1346     6,0
   2692     6,0    1347     8,0
   2694     9,0    1348     5,0
   2696     4,0    1349     2,0
   2698     7,0    1350     4,0
   2700     5,0    1351     3,0
   2702     8,0    1352     4,0
   2704     3,0    1353     8,0
   2706     6,0    1354     2,0
   2708     0,0    1355     1,0
   2710     2,0    1356     3,0
   2712     3,0    1357     4,0
   2714     4,0    1358     4,0
   2716     3,0    1359     4,0
   2718     5,0    1360     1,0
   2720     4,0    1361     5,0
   2722     5,0    1362     5,0
   2724     8,0    1363     5,0
   2726     8,0    1364     2,0
   2728     5,0    1365     5,0
   2730     3,0    1366     8,0
   2732     7,0    1367     2,0
   2734     3,0    1368     2,0
   2736     4,0    1369     6,0
   2738     4,0    1370     5,0
   2740     8,0    1371     3,0
   2742     4,0    1372     2,0
   2744     6,0    1373     6,0
   2746     5,0    1374     7,0
   2748     5,0    1375     4,0
   2750     2,0    1376     3,0
   2752     3,0    1377     4,0
   2754     2,0    1378     3,0
   2756     2,0    1379     6,0
   2758     3,0    1380     5,0
   2760     2,0    1381     4,0
   2762     4,0    1382     7,0
   2764     4,0    1383     4,0
   2766     2,0    1384     1,0
   2768     4,0    1385     5,0
   2770     9,0    1386     8,0
   2772     4,0    1387     2,0
   2775     5,0    1388     7,0
   2777     4,0    1389     3,0
   2779     4,0    1390     8,0
   2781     5,0    1391     4,0
   2783     6,0    1392     9,0
   2785     4,0    1393     5,0
   2787     3,0    1394     4,0
   2789     1,0    1395     1,0
   2791     3,0    1396     4,0
   2793     2,0    1397     2,0
   2795     3,0    1398     2,0
   2797     5,0    1399     2,0
   2799     4,0    1400     3,0
   2801     3,0    1401     2,0
   2803     5,0    1402     7,0
   2805     7,0    1403     3,0
   2807     5,0    1404     2,0
   2809     1,0    1405     7,0
   2811     6,0    1406     6,0
   2813     3,0    1407     3,0
   2815     4,0    1408     2,0
   2817     3,0    1409     1,0
   2819     4,0    1410     2,0
   2821    14,0    1411     1,0
   2823     2,0    1412     3,0
   2825     2,0    1413     3,0
   2827     4,0    1414     2,0
   2829     4,0    1415     4,0
   2831     3,0    1416     8,0
   2833     6,0    1417     6,0
   2835     5,0    1418     2,0
   2837     2,0    1419     3,0
   2839     2,0    1420     3,0
   2841     9,0    1421     5,0
   2843     7,0    1422     6,0
   2845     4,0    1423     3,0
   2847     4,0    1424     5,0
   2849     0,0    1425     2,0
   2851     5,0    1426     8,0
   2853     6,0    1427     2,0
   2855     2,0    1428     2,0
   2857     6,0    1429     8,0
   2859     2,0    1430     3,0
   2861     5,0    1431     6,0
   2863     4,0    1432     3,0
   2865     3,0    1433     8,0
   2867     4,0    1434     6,0
   2869     2,0    1435     7,0
   2871     3,0    1436     5,0
   2873     4,0    1437     4,0
   2875     7,0    1438     6,0
   2877     2,0    1439    10,0
   2879     6,0    1440     4,0
   2881     5,0    1441     3,0
   2883     3,0    1442     4,0
   2885     6,0    1443     3,0
   2887     1,0    1444     4,0
   2889     7,0    1445     8,0
   2891     5,0    1446     5,0
   2893     3,0    1447     4,0
   2895     6,0    1448     5,0
   2897     2,0    1449     3,0
   2899     6,0    1450     4,0
   2901     5,0    1451     2,0
   2903     5,0    1452     4,0
   2905     7,0    1453     3,0
   2907     3,0    1454     3,0
   2909     1,0    1455     4,0
   2911     2,0    1456     2,0
   2913     3,0    1457     3,0
   2915     3,0    1458     3,0
   2917     3,0    1459     3,0
   2919     1,0    1460     5,0
   2921     2,0    1461     1,0
   2923     3,0    1462     6,0
   2925     3,0    1463     2,0
   2927     5,0    1464     4,0
   2929     5,0    1465     5,0
   2931     5,0    1466     5,0
   2933     6,0    1467     3,0
   2935     2,0    1468     5,0
   2937     3,0    1469     4,0
   2939     3,0    1470     2,0
   2941     4,0    1471     8,0
   2943     1,0    1472     6,0
   2945     1,0    1473     7,0
   2947     3,0    1474     2,0
   2949     1,0    1475     0,0
   2951     3,0    1476     3,0
   2953     3,0    1477     4,0
   2955     0,0    1478     4,0
   2957     3,0    1479     2,0
   2959     3,0    1480     2,0
   2961     6,0    1481     2,0
   2963     1,0    1482     3,0
